size: 1000, threads: 1, time: 0.00103943, tot = 500045481283, min = 2, max = 999999 
size: 1000, threads: 2, time: 0.00104104, tot = 500106462901, min = 0, max = 999999 
size: 1000, threads: 4, time: 0.000465617, tot = 500124816625, min = 0, max = 999998 
size: 1000, threads: 8, time: 0.000631346, tot = 499674870374, min = 0, max = 999999 
size: 1000, threads: 16, time: 0.00107284, tot = 499610898045, min = 0, max = 999999 
size: 1000, threads: 32, time: 0.002253, tot = 500244484837, min = 2, max = 999999 
size: 2000, threads: 1, time: 0.00426707, tot = 7997896465689, min = 0, max = 3999999 
size: 2000, threads: 2, time: 0.00289635, tot = 7997698298842, min = 1, max = 3999998 
size: 2000, threads: 4, time: 0.00123545, tot = 7995029332426, min = 0, max = 3999998 
size: 2000, threads: 8, time: 0.00128271, tot = 8000924898328, min = 1, max = 3999999 
size: 2000, threads: 16, time: 0.00154841, tot = 8000975309348, min = 2, max = 3999999 
size: 2000, threads: 32, time: 0.00276411, tot = 7998248892274, min = 0, max = 3999999 
size: 3000, threads: 1, time: 0.00811587, tot = 40453286828728, min = 1, max = 8999999 
size: 3000, threads: 2, time: 0.00560349, tot = 40458288068569, min = 1, max = 8999999 
size: 3000, threads: 4, time: 0.00243515, tot = 40457246851509, min = 0, max = 8999999 
size: 3000, threads: 8, time: 0.00310689, tot = 40455182434877, min = 0, max = 8999999 
size: 3000, threads: 16, time: 0.00235278, tot = 40454217551744, min = 1, max = 8999999 
size: 3000, threads: 32, time: 0.00281664, tot = 40471070997160, min = 0, max = 8999999 
size: 4000, threads: 1, time: 0.0148961, tot = 127830841939402, min = 1, max = 15999999 
size: 4000, threads: 2, time: 0.0102372, tot = 127836175682097, min = 0, max = 15999998 
size: 4000, threads: 4, time: 0.00425052, tot = 127861135169884, min = 0, max = 15999999 
size: 4000, threads: 8, time: 0.00385228, tot = 127836907142107, min = 2, max = 15999997 
size: 4000, threads: 16, time: 0.0027604, tot = 127854271132747, min = 0, max = 15999999 
size: 4000, threads: 32, time: 0.00421512, tot = 127838162081155, min = 0, max = 15999999 
